"ISO","year","totdeath","armconf1"
"AFG",2000,5065,1
"AFG",2001,5394,1
"AFG",2002,5553,1
"AFG",2003,1157,1
"AFG",2004,944,1
"AFG",2005,817,1
"AFG",2006,1711,1
"AFG",2007,4982,1
"AFG",2008,7020,1
"AFG",2009,5660,1
"AFG",2010,6499,1
"AFG",2011,7151,1
"AFG",2012,7563,1
"AFG",2013,7824,1
"AFG",2014,8131,1
"AFG",2015,12549,1
"AFG",2016,17987,1
"AFG",2017,18719,1
"AFG",2018,19776,1
"AFG",2019,26889,1
"AGO",2000,2666,1
"AGO",2001,1206,1
"AGO",2002,2154,1
"AGO",2003,579,1
"AGO",2004,84,1
"AGO",2005,38,1
"AGO",2006,15,0
"AGO",2007,3,0
"AGO",2008,26,1
"AGO",2009,4,0
"AGO",2010,25,1
"AGO",2011,10,0
"AGO",2012,1,0
"AGO",2013,NA,NA
"AGO",2014,2,0
"AGO",2015,0,0
"AGO",2016,1,0
"AGO",2017,26,1
"AGO",2018,26,1
"AGO",2019,24,0
"ALB",2000,6,0
"ALB",2001,NA,NA
"ALB",2002,NA,NA
"ALB",2003,NA,NA
"ALB",2004,NA,NA
"ALB",2005,NA,NA
"ALB",2006,NA,NA
"ALB",2007,NA,NA
"ALB",2008,NA,NA
"ALB",2009,NA,NA
"ALB",2010,NA,NA
"ALB",2011,NA,NA
"ALB",2012,NA,NA
"ALB",2013,NA,NA
"ALB",2014,NA,NA
"ALB",2015,NA,NA
"ALB",2016,NA,NA
"ALB",2017,NA,NA
"ALB",2018,NA,NA
"ALB",2019,NA,NA
"AND",2000,NA,NA
"AND",2001,NA,NA
"AND",2002,NA,NA
"AND",2003,NA,NA
"AND",2004,NA,NA
"AND",2005,NA,NA
"AND",2006,NA,NA
"AND",2007,NA,NA
"AND",2008,NA,NA
"AND",2009,NA,NA
"AND",2010,NA,NA
"AND",2011,NA,NA
"AND",2012,NA,NA
"AND",2013,NA,NA
"AND",2014,NA,NA
"AND",2015,NA,NA
"AND",2016,NA,NA
"AND",2017,NA,NA
"AND",2018,NA,NA
"AND",2019,NA,NA
"ARE",2000,NA,NA
"ARE",2001,NA,NA
"ARE",2002,NA,NA
"ARE",2003,NA,NA
"ARE",2004,NA,NA
"ARE",2005,NA,NA
"ARE",2006,NA,NA
"ARE",2007,NA,NA
"ARE",2008,NA,NA
"ARE",2009,NA,NA
"ARE",2010,NA,NA
"ARE",2011,1,0
"ARE",2012,NA,NA
"ARE",2013,NA,NA
"ARE",2014,NA,NA
"ARE",2015,NA,NA
"ARE",2016,NA,NA
"ARE",2017,NA,NA
"ARE",2018,NA,NA
"ARE",2019,NA,NA
"ARG",2000,NA,NA
"ARG",2001,NA,NA
"ARG",2002,NA,NA
"ARG",2003,NA,NA
"ARG",2004,NA,NA
"ARG",2005,NA,NA
"ARG",2006,NA,NA
"ARG",2007,NA,NA
"ARG",2008,NA,NA
"ARG",2009,NA,NA
"ARG",2010,NA,NA
"ARG",2011,NA,NA
"ARG",2012,NA,NA
"ARG",2013,NA,NA
"ARG",2014,NA,NA
"ARG",2015,NA,NA
"ARG",2016,NA,NA
"ARG",2017,NA,NA
"ARG",2018,NA,NA
"ARG",2019,NA,NA
"ARM",2000,NA,NA
"ARM",2001,NA,NA
"ARM",2002,NA,NA
"ARM",2003,NA,NA
"ARM",2004,NA,NA
"ARM",2005,NA,NA
"ARM",2006,1,0
"ARM",2007,2,0
"ARM",2008,NA,NA
"ARM",2009,NA,NA
"ARM",2010,NA,NA
"ARM",2011,NA,NA
"ARM",2012,NA,NA
"ARM",2013,9,0
"ARM",2014,1,0
"ARM",2015,NA,NA
"ARM",2016,16,0
"ARM",2017,4,0
"ARM",2018,NA,NA
"ARM",2019,1,0
"ATG",2000,NA,NA
"ATG",2001,NA,NA
"ATG",2002,NA,NA
"ATG",2003,NA,NA
"ATG",2004,NA,NA
"ATG",2005,NA,NA
"ATG",2006,NA,NA
"ATG",2007,NA,NA
"ATG",2008,NA,NA
"ATG",2009,NA,NA
"ATG",2010,NA,NA
"ATG",2011,NA,NA
"ATG",2012,NA,NA
"ATG",2013,NA,NA
"ATG",2014,NA,NA
"ATG",2015,NA,NA
"ATG",2016,NA,NA
"ATG",2017,NA,NA
"ATG",2018,NA,NA
"ATG",2019,NA,NA
"AUS",2000,NA,NA
"AUS",2001,NA,NA
"AUS",2002,NA,NA
"AUS",2003,NA,NA
"AUS",2004,NA,NA
"AUS",2005,NA,NA
"AUS",2006,NA,NA
"AUS",2007,NA,NA
"AUS",2008,NA,NA
"AUS",2009,NA,NA
"AUS",2010,NA,NA
"AUS",2011,NA,NA
"AUS",2012,NA,NA
"AUS",2013,NA,NA
"AUS",2014,NA,NA
"AUS",2015,NA,NA
"AUS",2016,NA,NA
"AUS",2017,NA,NA
"AUS",2018,NA,NA
"AUS",2019,2,0
"AUT",2000,NA,NA
"AUT",2001,NA,NA
"AUT",2002,NA,NA
